group_name,session,feature,scenario,step,line_number,step_duration,timestamp,step_result,step_type
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I assign value ""Scripts/Groovy/-/"" to unassigned variable ""groovy_directory_location""",188,1,1675400416403,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I assign value ""Datasets/-/"" to unassigned variable ""dataset_directory_location""",189,0,1675400416405,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I assign value ""Playlists/-/"" to unassigned variable ""playlists_directory_location""",190,1,1675400416406,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I assign value ""Test Cases/-/"" to unassigned variable ""test_cases_directory_location""",191,0,1675400416408,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I assign value ""Test Case Inputs/"" to unassigned variable ""test_case_inputs_directory_location""",192,1,1675400416410,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I assign value ""Test Case Validations/-/"" to unassigned variable ""test_case_validations_directory_location""",193,1,1675400416413,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I assign value ""Environments/"" to unassigned variable ""environments_directory_location""",194,1,1675400416415,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I assign value ""Data/Locators/Native App Locators/-/"" to unassigned variable ""native_app_locators_directory_location""",195,0,1675400416420,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I assign value ""Data/Serial Numbers/"" to unassigned variable ""serial_numbers_directory_location""",196,0,1675400416421,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I assign value ""Data/Interfaces/-/"" to unassigned variable ""interfaces_directory_location""",197,1,1675400416422,Pass,SCENARIO_STEP
